order_id,customer_id,product_id,order_date,quantity,price
1001,1,P101,2025-01-05,2,1200
1002,2,P102,2025-01-06,1,500
1003,1,P103,2025-01-07,3,800
1004,3,P101,2025-01-08,1,1200
1005,4,P104,2025-01-09,2,2500
1006,5,P105,2025-01-10,1,3500
1007,2,P103,2025-01-11,2,800
1008,6,P106,2025-01-12,1,1500
1009,7,P102,2025-01-13,4,500
1010,8,P107,2025-01-14,1,7000
1011,9,P105,2025-01-15,2,3500
1012,10,P104,2025-01-16,1,2500
1013,2,P108,2025-01-17,1,900
1014,4,P106,2025-01-18,2,1500
1015,5,P109,2025-01-19,1,4500
1016,6,P101,2025-01-20,1,1200
1017,2,P105,2025-01-21,1,3500
1018,2,P104,2025-01-22,2,2500
1019,2,P107,2025-01-23,1,7000
1020,3,P110,2025-01-24,1,1000
1021,4,P103,2025-01-25,2,800
1022,5,P102,2025-01-26,1,500
1023,6,P108,2025-01-27,2,900
1024,2,P109,2025-01-28,1,4500
1025,2,P107,2025-01-29,1,7000
